Census Tract,Total Population,California County,ZIP,Approximate Location,CES 4.0 Score,Pollution Burden Score,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Unemployment,Housing Burden,Pop. Char. Score,PovertyRate,lapophalfshare,lalowihalfshare,lapop1share,lalowi1share,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LATractsVehicle_20,CVD Risk Level
6111005911,3643,Ventura ,91361,Thousand Oaks,10.7,4.7,14.52,4.87,7.74,5,0.8,15,2.29,3.8,99.4,10.6,28.55,3.18,7.58,71.97,20.4,16.2,68.7,3.29,0,6.09,5.68,1,0,0,0,0,0,0,0,Mild
6071002022,13434,San Bernardino,91739,Rancho Cucamonga,11.7,5.15,24.56,2.69,14.6,5.4,2.9,3.4,2.29,4,88.6,6.72,59.79,4.54,13.7,75.41,10.8,29.6,36.2,6.55,0.09,22.5,4.88,1,0,0,0,0,0,0,0,High
6085506204,5568,Santa Clara,95129,San Jose,10.8,4.73,18.38,2.85,9.38,5.1,1.1,13,2.29,5.1,26.7,0.47,,,11.3,73.42,15.2,8.53,23.8,3.97,0,58.5,5.08,1,0,0,0,0,0,0,0,Mild
6007001600,4753,Butte ,95942,Unincorporated Butte County area,9.99,4.36,30.08,3.68,9.08,8.5,NA,9.6,2.29,7.4,100,16.8,99.35,16.82,7.3,67.6,25.1,9.97,80.6,0.55,0,1.94,6.86,0,0,0,0,0,0,0,0,Mild
6085505800,4279,Santa Clara,95128,San Jose,10.8,4.74,29.98,4.19,9.44,2.6,5.1,7,2.29,2.2,81.5,5.74,,,12.6,73.55,13.8,27.2,51.5,2.22,0,14.7,4.3,1,0,0,0,0,0,0,0,Mild
6085506802,5674,Santa Clara,95124,San Jose,8.34,3.64,23.04,4.03,7.21,7.5,6.5,5.9,2.29,4.1,54.4,4.33,,,14.5,72.74,12.6,14.1,58.8,0.95,0,22.1,3.89,1,0,0,0,0,0,0,0,Mild
6037403305,2294,Los Angeles,91765,Diamond Bar,10.2,4.45,15.38,3.77,6.01,3.1,2.5,16,2.29,6.6,63.3,11.8,,,10.5,74.76,14.6,10.9,9.76,1.53,0,73.4,4.32,1,0,0,0,0,0,0,0,Mild
6085508202,7600,Santa Clara,94087,Sunnyvale,11.4,4.97,14.47,4.82,6.9,3.2,3.7,11,2.29,2.5,13.2,0.87,,,13.7,70.83,15.4,9,32.5,1.91,0,49.9,6.53,1,0,0,0,0,0,0,0,Mild
6111001001,2560,Ventura ,93001,Unincorporated Ventura County area,9.47,4.12,34.55,3.87,6.55,9.9,1.5,13,2.3,6.8,99.5,19.9,75.13,15.01,10.4,67.58,21.9,18.9,70.1,0.16,0.35,3.2,7.19,1,0,0,0,0,0,0,0,Mild
6041133000,2658,Marin ,94952,Unincorporated Marin County area,11,4.81,18.57,4.58,5.8,5.4,1.5,18,2.3,7.5,87.3,19.8,78.93,17.62,10.2,58.43,31.3,12.4,81.2,0,2.78,1.81,1.69,0,0,0,0,0,0,0,0,Mild
6037430301,4319,Los Angeles,91016,Monrovia,11.3,4.94,39.06,3.7,9.27,5,3.5,7.5,2.3,4.3,98.3,6.79,32.29,2.75,9.68,68.81,21.5,17.8,62.9,4.12,0,11.9,3.13,1,0,0,0,0,0,0,0,Mild
6019005524,4660,Fresno ,93619,Clovis,10.4,4.54,25.47,5.97,8.51,3.5,3.5,5.2,2.3,2,76.8,5.06,21.14,1.39,11.2,77.55,11.2,16.9,63.9,1.7,0,13.4,3.99,1,0,0,0,0,0,0,0,Mild
6059099512,2959,Orange ,90740,Seal Beach,13.3,5.8,24.73,5.07,11.5,0.4,2.5,9.2,2.3,6.6,15.5,1.09,,,4.09,76.92,18.9,13.4,77.5,0.74,0,3.21,5.07,1,0,0,0,0,0,0,0,Moderate
6037800324,6966,Los Angeles,91301,Agoura Hills,12.3,5.36,18.37,3.68,10.7,3.6,5.1,9.4,2.3,3.2,66.1,3.98,0.19,0.01,13.2,70.41,16.3,9.7,76.3,2.83,0,8.41,2.73,1,0,0,0,0,0,0,0,Moderate
